OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Tongue_mean	Other_mean	Lip_mean	Gingiva_mean	Cheek_mean	taxonomy
378	3.47843420857	0.481165038146	0.767719773391	1.0	0.4308	1.57014	2.8976	0.742795238095	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Propionibacteriales; 5__Propionibacteriaceae; 6__Propionibacterium; 7__Propionibacterium humerusii
224	3.4721395138	0.48212721823	0.767719773391	1.0	2.7072125	1.3831	0.0	1.94997619048	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Dermabacteraceae; 6__Dermabacteraceae_u; 7__Dermabacteraceae_u_u
0	3.47010939511	0.482437807553	0.767719773391	1.0	8.5334375	9.55598	8.1211	8.2505047619	8.6003	1__Eukaryota; 2__Basidiomycota; 3__Malasseziomycetes; 4__Malasseziales; 5__Malasseziaceae; 6__Malassezia; 7__Malassezia globosa
192	3.44171307576	0.486796161284	0.767719773391	1.0	0.554275	1.83014	2.8976	1.80454285714	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Neisseriales; 5__Neisseriaceae; 6__Neisseriaceae_u; 7__Neisseriaceae_u_u
86	3.43722452683	0.48748746067	0.767719773391	1.0	4.1417875	5.4922	5.7173	5.21931904762	0.0	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Veillonellales; 5__Veillonellaceae; 6__Veillonella; 7__Veillonella_u
118	3.40285174227	0.492802823585	0.771471086922	1.0	3.055275	2.9668	4.3473	4.49599047619	0.0	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Leptotrichiaceae; 6__Leptotrichia; 7__Leptotrichia_u
1015	3.33863066758	0.502834935111	0.782518271799	1.0	3.0261125	3.852	0.0	2.7460952381	0.0	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Lactococcus prophage; 7__Lactococcus garvieae
138	3.2630299757	0.514811087244	0.79362879324	1.0	3.4349	4.85342	0.0	3.51988095238	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Orbales; 5__Orbaceae; 6__Gilliamella; 7__Gilliamella apicola
13	3.2555254558	0.516009595605	0.79362879324	1.0	1.566675	0.0	0.0	1.27961428571	0.0	1__Eukaryota; 2__Ascomycota; 3__Pneumocystidomycetes; 4__Pneumocystidales; 5__Pneumocystidaceae; 6__Pneumocystis; 7__Pneumocystis murina
281	3.15708173584	0.531890741398	0.809437937842	1.0	0.868225	2.49052	0.0	1.46516190476	0.0	1__Bacteria; 2__Actinobacteria; 3__Coriobacteriia; 4__Coriobacteriales; 5__Coriobacteriaceae; 6__Coriobacteriaceae_u; 7__Coriobacteriaceae_u_u
