OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
176	1.85159500693	0.396215309959	0.982275082276	1.0	2.1553047619	3.31181	2.77698	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Curvibacter; 7__Curvibacter gracilis
1019	1.84544997486	0.397434559976	0.982275082276	1.0	2.16908095238	0.99523	2.07634	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pasteurellales prophage; 5__Pasteurellaceae prophage; 6__Haemophilus prophage; 7__[Haemophilus] parasuis
313	1.84202922709	0.398114903323	0.982275082276	1.0	1.73614285714	0.77225	1.49282	1__Bacteria; 2__Bacteroidetes; 3__Cytophagia; 4__Cytophagales; 5__Hymenobacteraceae; 6__Hymenobacter; 7__Hymenobacter_u
164	1.83445683173	0.399625102198	0.982275082276	1.0	3.78757619048	3.72705	2.21288	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus mutans
427	1.78014375562	0.410626236778	0.982275082276	1.0	0.6556	0.40984	1.48508	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Dermatophilaceae; 6__Mobilicoccus; 7__Mobilicoccus pelagius
285	1.76301830256	0.414157413624	0.982275082276	1.0	1.22024285714	0.31802	1.59966	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhodospirillales; 5__Rhodospirillaceae; 6__Magnetospirillum; 7__Magnetospirillum magnetotacticum
1016	1.76267042783	0.414229457338	0.982275082276	1.0	2.2569	2.73789	3.67848	1__Prophage; 2__Proteobacteria prophage; 3__Alphaproteobacteria prophage; 4__Rhodospirillales prophage; 5__Rhodospirillaceae prophage; 6__Azospirillum prophage; 7__Azospirillum lipoferum
124	1.744551902	0.417999120302	0.982275082276	1.0	1.35793333333	1.22365	2.97252	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidaceae; 6__Bacteroidaceae_u; 7__Bacteroidaceae_u_u
192	1.73552616313	0.41988975865	0.982275082276	1.0	1.80320952381	0.67731	1.94748	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Neisseriales; 5__Neisseriaceae; 6__Neisseriaceae_u; 7__Neisseriaceae_u_u
360	1.70470926466	0.426409710859	0.982275082276	1.0	0.857085714286	1.0701	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas toyotomiensis
88	1.69686740481	0.428084915489	0.982275082276	1.0	3.44033809524	2.24666	4.89724	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Porphyromonadaceae_u; 7__Porphyromonadaceae_u_u
111	1.68775386743	0.430040050595	0.982275082276	1.0	5.00262380952	4.02985	6.37912	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Enterobacter; 7__Enterobacter hormaechei
173	1.6465057818	0.43900130603	0.982275082276	1.0	2.36303809524	2.32185	0.80272	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillaceae; 6__Bacillus; 7__Bacillus thermoamylovorans
353	1.64397068351	0.439558114576	0.982275082276	1.0	0.939557142857	1.07793	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Curvibacter; 7__Curvibacter lanceolatus
272	1.57372926699	0.455269998152	0.982275082276	1.0	1.82646190476	1.825	0.62006	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Empedobacter; 7__Empedobacter falsenii
227	1.5696557971	0.456198207403	0.982275082276	1.0	2.47595238095	1.54711	1.2796	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Aeromonadales; 5__Aeromonadaceae; 6__Aeromonas; 7__Aeromonas_u
136	1.52648809524	0.466151753016	0.982275082276	1.0	1.8948	2.36229	3.36546	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Capnocytophaga; 7__Capnocytophaga_u
232	1.50485175202	0.471222038838	0.982275082276	1.0	0.787814285714	1.06833	1.59318	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Burkholderiales_n_n; 7__Burkholderiales bacterium YL45
197	1.49588014981	0.473340595339	0.982275082276	1.0	1.54715714286	2.74871	1.51984	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Brevibacteriaceae; 6__Brevibacterium; 7__Brevibacterium ravenspurgense
1008	1.47055541248	0.479372315805	0.982275082276	1.0	6.88007619048	6.15136	7.77446	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Bacillales prophage; 5__Bacillales prophage_u; 6__Bacillales prophage_u_u; 7__Bacillales prophage_u_u_u
92	1.46705882353	0.480211132812	0.982275082276	1.0	5.0294952381	4.41677	3.28298	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus_u
102	1.4473384453	0.484969526175	0.982275082276	1.0	1.37055238095	2.60928	0.7849	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Corynebacterium; 7__Corynebacterium afermentans
273	1.44106227675	0.486493791804	0.982275082276	1.0	1.85870952381	2.37713	0.8955	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Acinetobacter; 7__Acinetobacter sp. P8-3-8
150	1.44070286789	0.48658122475	0.982275082276	1.0	3.02064761905	2.37287	1.68864	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Microbacteriaceae; 6__Pseudoclavibacter; 7__Pseudoclavibacter_u
391	1.43081761006	0.488992168471	0.982275082276	1.0	0.892823809524	0.64744	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas fluorescens
1006	1.42634187154	0.490087694379	0.982275082276	1.0	6.54528571429	5.96278	6.75668	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Bacilli prophage_u; 5__Bacilli prophage_u_u; 6__Bacilli prophage_u_u_u; 7__Bacilli prophage_u_u_u_u
237	1.41963616907	0.491733643278	0.982275082276	1.0	1.63714285714	0.95648	2.26422	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriia_u; 5__Flavobacteriia_u_u; 6__Flavobacteriia_u_u_u; 7__Flavobacteriia_u_u_u_u
301	1.41107556368	0.493842923075	0.982275082276	1.0	0.976419047619	1.23795	2.12666	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Psychrobacter; 7__Psychrobacter_u
155	1.40896196003	0.494365093045	0.982275082276	1.0	1.94437619048	0.6202	2.25912	1__Bacteria; 2__Spirochaetes; 3__Spirochaetia; 4__Spirochaetales; 5__Spirochaetaceae; 6__Treponema; 7__Treponema_u
320	1.40215633423	0.496050190369	0.982275082276	1.0	0.925638095238	0.71873	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Alkanindiges; 7__Alkanindiges illinoisensis
1	1.40171600172	0.496159415907	0.982275082276	1.0	7.4699952381	6.62321	6.6369	1__Eukaryota; 2__Basidiomycota; 3__Basidiomycota_u; 4__Basidiomycota_u_u; 5__Basidiomycota_u_u_u; 6__Basidiomycota_u_u_u_u; 7__Basidiomycota_u_u_u_u_u
381	1.38302922415	0.500816950925	0.982275082276	1.0	1.20775238095	0.50556	0.80272	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellales; 5__Peptoniphilaceae; 6__Anaerococcus; 7__Anaerococcus provenciensis
143	1.3820043573	0.501073652037	0.982275082276	1.0	3.34372380952	3.65777	2.51984	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Alphaproteobacteria_u; 5__Alphaproteobacteria_u_u; 6__Alphaproteobacteria_u_u_u; 7__Alphaproteobacteria_u_u_u_u
117	1.35789813024	0.507149693702	0.982275082276	1.0	1.01794285714	2.11355	2.86348	1__Bacteria; 2__Firmicutes; 3__Erysipelotrichia; 4__Erysipelotrichales; 5__Erysipelotrichaceae; 6__Faecalibaculum; 7__Faecalibaculum rodentium
316	1.34429748231	0.510610228963	0.982275082276	1.0	0.946185714286	1.69336	1.28372	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellales; 5__Peptoniphilaceae; 6__Anaerococcus; 7__Anaerococcus_u
275	1.33509475219	0.512965146793	0.982275082276	1.0	1.18566190476	0.3067	0.78148	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Peptostreptococcaceae; 6__Peptostreptococcus; 7__Peptostreptococcus_u
1021	1.33217279175	0.513715126446	0.982275082276	1.0	1.35678571429	0.65661	2.2062	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Lactobacillaceae prophage; 6__Lactobacillus prophage; 7__Lactobacillus casei
82	1.3190134427	0.517106349112	0.982275082276	1.0	3.2007	3.08876	5.34792	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Negativicutes_u; 5__Negativicutes_u_u; 6__Negativicutes_u_u_u; 7__Negativicutes_u_u_u_u
174	1.30531384151	0.52066058349	0.982275082276	1.0	1.87690952381	0.86648	1.6746	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinomycetales; 5__Actinomycetaceae; 6__Actinomyces; 7__Actinomyces graevenitzii
