OTU	Test-Statistic	P	FDR_P	Bonferroni_P	M_mean	F_mean	taxonomy
1014	2.89043292357	0.0891069783809	0.703308714641	1.0	4.05063333333	2.53228571429	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Gammaproteobacteria prophage_u; 5__Gammaproteobacteria prophage_u_u; 6__Gammaproteobacteria prophage_u_u_u; 7__Gammaproteobacteria prophage_u_u_u_u
134	2.88222320247	0.089562289309	0.703308714641	1.0	1.53964666667	3.43281428571	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Xanthomonadales; 5__Xanthomonadaceae; 6__Xanthomonas; 7__Xanthomonas citri
16	2.87277628032	0.0900893400841	0.703308714641	1.0	1.20048	0.361842857143	1__Eukaryota; 2__Ascomycota; 3__Eurotiomycetes; 4__Eurotiales; 5__Aspergillaceae; 6__Penicillium; 7__Penicillium_u
240	2.79497098646	0.0945604781147	0.703308714641	1.0	0.796346666667	1.89061428571	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Dickeya; 7__Dickeya zeae
218	2.77656500803	0.0956531201216	0.703308714641	1.0	2.53098	1.26418095238	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas aeruginosa
224	2.76694603735	0.0962295985033	0.703308714641	1.0	1.31367333333	2.37226666667	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Dermabacteraceae; 6__Dermabacteraceae_u; 7__Dermabacteraceae_u_u
7	2.75704838148	0.0968267323142	0.703308714641	1.0	0.870646666667	2.25936666667	1__Eukaryota; 2__Ascomycota; 3__Eurotiomycetes; 4__Onygenales; 5__Onygenales_n; 6__Coccidioides; 7__Coccidioides immitis
1019	2.72247360483	0.0989445720217	0.703308714641	1.0	2.50096	1.35096666667	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pasteurellales prophage; 5__Pasteurellaceae prophage; 6__Haemophilus prophage; 7__[Haemophilus] parasuis
138	2.54091277343	0.110930641221	0.766107500311	1.0	2.52129333333	4.18306666667	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Orbales; 5__Orbaceae; 6__Gilliamella; 7__Gilliamella apicola
115	2.50333778371	0.113605294723	0.766107500311	1.0	1.5747	1.01888571429	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Parabacteroides; 7__Parabacteroides sp. YL27
122	2.41431334623	0.120230678918	0.779395751498	1.0	2.15238	1.17474761905	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Rikenellaceae; 6__Alistipes; 7__Alistipes_u
192	2.39784197703	0.121502759739	0.779395751498	1.0	2.19091333333	1.02448571429	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Neisseriales; 5__Neisseriaceae; 6__Neisseriaceae_u; 7__Neisseriaceae_u_u
270	2.35239206534	0.125090927001	0.783307471459	1.0	0.818373333333	2.1110047619	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Yersinia; 7__Yersinia pestis
131	2.25058548009	0.133563859908	0.816913840833	1.0	4.99854	3.78039047619	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Acinetobacter; 7__Acinetobacter_u
4	2.18453994064	0.139402713009	0.833248034575	1.0	3.85315333333	4.62748571429	1__Eukaryota; 2__undetermined Eukaryota; 3__undetermined Eukaryota; 4__undetermined Eukaryota; 5__undetermined Eukaryota; 6__undetermined Eukaryota; 7__undetermined Eukaryota
177	1.9904090268	0.15829811858	0.914076991938	1.0	3.05266666667	1.88564285714	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Curvibacter; 7__Curvibacter_u
157	1.97539302802	0.159876584141	0.914076991938	1.0	2.25075333333	3.57815238095	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Streptomycetales; 5__Streptomycetaceae; 6__Streptomyces; 7__Streptomyces sp. Root63
247	1.92918660287	0.1648474621	0.915567317209	1.0	1.87096666667	2.77433333333	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Enterococcaceae; 6__Enterococcus; 7__Enterococcus faecium
315	1.90877192982	0.167099738502	0.915567317209	1.0	0.56554	1.3697	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Nocardiaceae; 6__Rhodococcus; 7__Rhodococcus sp. Leaf233
1013	1.82443438914	0.176786344685	0.948873645963	1.0	5.0847	3.92084761905	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Lactobacillaceae prophage; 6__Pediococcus prophage; 7__Pediococcus acidilactici
82	1.79384825701	0.180457993395	0.949209045256	1.0	4.56593333333	2.68347142857	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Negativicutes_u; 5__Negativicutes_u_u; 6__Negativicutes_u_u_u; 7__Negativicutes_u_u_u_u
1012	1.69644473174	0.192753585768	0.949303344315	1.0	5.62878	4.7057	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Enterobacterales prophage; 5__Enterobacteriaceae prophage; 6__Enterobacteriaceae prophage_u; 7__Enterobacteriaceae prophage_u_u
301	1.64131627057	0.200144966211	0.949303344315	1.0	0.794993333333	1.50441428571	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Psychrobacter; 7__Psychrobacter_u
93	1.61809696655	0.203357342712	0.949303344315	1.0	4.99247333333	3.57058571429	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillales_u; 6__Bacillales_u_u; 7__Bacillales_u_u_u
111	1.61809696655	0.203357342712	0.949303344315	1.0	4.25427333333	5.40167142857	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Enterobacter; 7__Enterobacter hormaechei
1008	1.60726242596	0.204877047961	0.949303344315	1.0	7.26819333333	6.46879047619	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Bacillales prophage; 5__Bacillales prophage_u; 6__Bacillales prophage_u_u; 7__Bacillales prophage_u_u_u
80	1.60664178144	0.204964507325	0.949303344315	1.0	7.24774	6.00274285714	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Clostridiales_u; 6__Clostridiales_u_u; 7__Clostridiales_u_u_u
109	1.6011342155	0.205742549909	0.949303344315	1.0	4.05030666667	2.72218095238	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Micrococcaceae_u; 7__Micrococcaceae_u_u
191	1.56247824574	0.211302726079	0.954536745898	1.0	2.10878	1.06430952381	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pasteurellales; 5__Pasteurellaceae; 6__Haemophilus; 7__Haemophilus_u
384	1.53539651838	0.21530432695	0.954536745898	1.0	1.5157	0.7305	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinomycetales; 5__Actinomycetaceae; 6__Actinotignum; 7__Actinotignum schaalii
97	1.51903861734	0.217765037087	0.954536745898	1.0	4.17919333333	2.58233809524	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Porphyromonas; 7__Porphyromonas_u
200	1.45002157342	0.228524490902	0.95518908259	1.0	1.89265333333	3.04254285714	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Gammaproteobacteria_n; 5__Gammaproteobacteria_n_n; 6__Gammaproteobacteria_n_n_n; 7__endosymbiont of Tevnia jerichonana
99	1.44787644788	0.228869000265	0.95518908259	1.0	6.81968666667	6.0377	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Gammaproteobacteria_u; 5__Gammaproteobacteria_u_u; 6__Gammaproteobacteria_u_u_u; 7__Gammaproteobacteria_u_u_u_u
199	1.44096456403	0.229983316794	0.95518908259	1.0	2.39467333333	1.5679	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacilli_u; 5__Bacilli_u_u; 6__Bacilli_u_u_u; 7__Bacilli_u_u_u_u
120	1.35980002941	0.24357214124	0.95518908259	1.0	2.15515333333	2.92211428571	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Alteromonadales; 5__Alteromonadaceae; 6__Marinobacter; 7__Marinobacter_u
112	1.31790849673	0.250967755323	0.95518908259	1.0	4.47835333333	3.61553333333	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Lachnospiraceae; 6__Lachnospiraceae_u; 7__Lachnospiraceae_u_u
272	1.27415730337	0.258988219046	0.95518908259	1.0	2.12462	1.32555714286	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Empedobacter; 7__Empedobacter falsenii
77	1.26696832579	0.260336191295	0.95518908259	1.0	5.6188	4.60212857143	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidaceae; 6__Bacteroides; 7__Bacteroides_u
83	1.26304936203	0.261074676267	0.95518908259	1.0	6.30054666667	5.02093809524	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidales_u; 6__Bacteroidales_u_u; 7__Bacteroidales_u_u_u
289	1.19644128114	0.274034113402	0.95518908259	1.0	0.279273333333	0.966604761905	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Hydrogenophilales; 5__Hydrogenophilaceae; 6__Tepidiphilus; 7__Tepidiphilus_u
229	1.17021276596	0.279357527152	0.95518908259	1.0	1.7059	0.997133333333	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus saprophyticus
84	1.15606489827	0.282283143405	0.95518908259	1.0	6.83956	5.66460952381	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidetes_u; 4__Bacteroidetes_u_u; 5__Bacteroidetes_u_u_u; 6__Bacteroidetes_u_u_u_u; 7__Bacteroidetes_u_u_u_u_u
1007	1.15606489827	0.282283143405	0.95518908259	1.0	6.83802666667	5.80223333333	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Lactobacillales prophage_u; 6__Lactobacillales prophage_u_u; 7__Lactobacillales prophage_u_u_u
1006	1.12137984297	0.289621531984	0.95518908259	1.0	6.84797333333	6.10202857143	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Bacilli prophage_u; 5__Bacilli prophage_u_u; 6__Bacilli prophage_u_u_u; 7__Bacilli prophage_u_u_u_u
197	1.11749598716	0.290458272226	0.95518908259	1.0	2.36828	1.5263047619	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Brevibacteriaceae; 6__Brevibacterium; 7__Brevibacterium ravenspurgense
145	1.1045751634	0.293264235139	0.95518908259	1.0	4.19844666667	3.43231428571	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Lactobacillales_u; 6__Lactobacillales_u_u; 7__Lactobacillales_u_u_u
170	1.10097087379	0.294053136803	0.95518908259	1.0	3.20616	2.27596666667	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Rothia; 7__Rothia dentocariosa
81	1.08765606899	0.296991132279	0.95518908259	1.0	7.45309333333	5.87428095238	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinomycetales; 5__Actinomycetaceae; 6__Actinomyces; 7__Actinomyces_u
403	1.02818270165	0.310585881273	0.95518908259	1.0	0.49274	0.996842857143	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Pseudoglutamicibacter; 7__Pseudoglutamicibacter albus
313	1.0085014169	0.315262120977	0.95518908259	1.0	1.02442666667	1.72758095238	1__Bacteria; 2__Bacteroidetes; 3__Cytophagia; 4__Cytophagales; 5__Hymenobacteraceae; 6__Hymenobacter; 7__Hymenobacter_u
316	0.977723633832	0.322761451204	0.95518908259	1.0	0.863093333333	1.4417	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellales; 5__Peptoniphilaceae; 6__Anaerococcus; 7__Anaerococcus_u
1005	0.95790964088	0.327714104772	0.95518908259	1.0	8.00647333333	7.25658571429	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Bacillales prophage; 5__Staphylococcaceae prophage; 6__Staphylococcus prophage; 7__Staphylococcus aureus
