OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
106	2.82147573931	0.24396320368	0.775332719227	1.0	1.3431625	2.26295	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Xanthomonadales; 5__Xanthomonadaceae; 6__Stenotrophomonas; 7__Stenotrophomonas_u
221	2.79108748441	0.247698315715	0.775332719227	1.0	1.1243875	2.30316	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Rhizobiaceae; 6__Rhizobium; 7__Rhizobium_u
502	2.78538102996	0.248406064498	0.775332719227	1.0	0.302833333333	1.04275	1.48985	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus sciuri
122	2.7720305258	0.250069784293	0.775332719227	1.0	3.82520833333	3.36555	5.75455	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillales_u; 6__Bacillales_u_u; 7__Bacillales_u_u_u
347	2.72680228408	0.255789320009	0.775332719227	1.0	1.6853875	0.76518	2.81505	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Burkholderiales_n_u; 7__Burkholderiales_n_u_u
217	2.6898717292	0.260556418214	0.775332719227	1.0	3.12720416667	1.4911	1.619875	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Pelomonas; 7__Pelomonas_u
11	2.67604568234	0.262363891191	0.775332719227	1.0	0.35325	1.22003	1.105025	1__Eukaryota; 2__Ascomycota; 3__Ascomycota_u; 4__Ascomycota_u_u; 5__Ascomycota_u_u_u; 6__Ascomycota_u_u_u_u; 7__Ascomycota_u_u_u_u_u
94	2.67281823867	0.262787615326	0.775332719227	1.0	2.1600125	0.74276	5.5095	1__Bacteria; 2__Firmicutes; 3__Erysipelotrichia; 4__Erysipelotrichales; 5__Erysipelotrichaceae; 6__Solobacterium; 7__Solobacterium moorei
50	2.60105902983	0.272387521585	0.775332719227	1.0	4.68805833333	4.4955	1.105025	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Micrococcus; 7__Micrococcus_u
323	2.59798237618	0.272806865078	0.775332719227	1.0	1.6469125	0.7656	0.0	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Fusobacteriaceae; 6__Fusobacterium; 7__Fusobacterium nucleatum
75	2.59128908103	0.273721382942	0.775332719227	1.0	7.85573333333	6.39665	7.86775	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium_u
162	2.56460115835	0.277398388845	0.775332719227	1.0	2.82244583333	1.29897	0.9933	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Comamonadaceae_u; 7__Comamonadaceae_u_u
292	2.55821228165	0.278285937751	0.775332719227	1.0	0.896470833333	0.0	0.964825	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Neisseriales; 5__Neisseriaceae; 6__Neisseria; 7__Neisseria meningitidis
