OTU	Test-Statistic	P	FDR_P	Bonferroni_P	OL_mean	OSCC_mean	PVL_mean	CTRL_mean	taxonomy
312	13.199137461	0.00422516471525	0.0442233906863	1.0	0.0	2.67432857143	3.42794	0.960325	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Caulobacterales; 5__Caulobacteraceae; 6__Caulobacteraceae_u; 7__Caulobacteraceae_u_u
336	13.0248157808	0.0045832460655	0.0454129521533	1.0	0.35408	3.50492142857	1.30478	1.105025	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium tropiciagri
302	13.003949797	0.00462807155703	0.0454129521533	1.0	0.58535	0.16685	3.42229	0.0	1__Bacteria; 2__Proteobacteria; 3__Epsilonproteobacteria; 4__Campylobacterales; 5__Campylobacteraceae; 6__Campylobacter; 7__Campylobacter showae
43	12.8345694636	0.00500836531005	0.0476553547683	1.0	8.9923	3.9184	3.50727	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Acinetobacter; 7__Acinetobacter_u
36	12.7462440347	0.00521877513755	0.0481969233291	1.0	4.16877	1.37555	6.25133	4.006425	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Neisseriales; 5__Neisseriaceae; 6__Neisseria; 7__Neisseria_u
143	12.6194096428	0.00553629808575	0.0495718662026	1.0	0.0	0.227528571429	4.06958	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Capnocytophaga; 7__Capnocytophaga gingivalis
84	12.5630703838	0.00568339867291	0.0495718662026	1.0	2.38164	1.20297142857	6.2752	4.359975	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pasteurellales; 5__Pasteurellaceae; 6__Haemophilus; 7__Haemophilus parainfluenzae
291	12.475909206	0.00591862312338	0.0502283151552	1.0	0.0	0.895585714286	3.34564	0.0	1__Bacteria; 2__Proteobacteria; 3__Epsilonproteobacteria; 4__Campylobacterales; 5__Campylobacteraceae; 6__Campylobacter; 7__Campylobacter concisus
74	12.3728585222	0.00620917099152	0.0513073602983	1.0	0.33001	1.08412857143	5.89965	2.06985	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Capnocytophaga; 7__Capnocytophaga_u
70	12.2689690773	0.00651634968709	0.0523557437379	1.0	4.78972	1.6955	7.21595	4.02115	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Veillonellales; 5__Veillonellaceae; 6__Veillonella; 7__Veillonella_u
55	12.1933219556	0.00674942593571	0.0523557437379	1.0	7.78402	2.62454285714	1.69348	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. TKP
392	12.165797617	0.00683625953265	0.0523557437379	1.0	0.0	2.56547857143	0.36585	2.560425	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Sediminibacterium; 7__Sediminibacterium salmoneum
637	12.0824053995	0.00710613986424	0.0531268551755	1.0	3.97527	0.873264285714	0.53803	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas syringae group genomosp. 3
150	11.8874946681	0.00777866276098	0.0558147570675	1.0	2.72726	0.502035714286	4.06173	1.3465	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Porphyromonas; 7__Porphyromonas_u
456	11.7860346399	0.00815323805757	0.0558147570675	1.0	0.0	2.31863571429	0.75952	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Rhodopseudomonas; 7__Rhodopseudomonas_u
485	11.7798378651	0.00817668415639	0.0558147570675	1.0	0.0	1.71421428571	0.0	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillales_n; 6__Acidibacillus; 7__Acidibacillus ferrooxidans
556	11.7798378651	0.00817668415639	0.0558147570675	1.0	0.0	1.30801428571	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium sp. th.b2
252	11.6170901051	0.00881685926928	0.0589041236288	1.0	2.53321	0.374542857143	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Moraxellaceae_u; 7__Moraxellaceae_u_u
395	11.4643911254	0.00946237891711	0.0603035788409	1.0	0.0	2.62581428571	1.44387	1.105025	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Caulobacterales; 5__Caulobacteraceae; 6__Caulobacter; 7__Caulobacter_u
458	11.4473423197	0.0095372836443	0.0603035788409	1.0	0.0	2.31275	1.53141	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Xanthobacteraceae; 6__Azorhizobium; 7__Azorhizobium doebereinerae
269	11.3969021039	0.00976233803258	0.0603035788409	1.0	3.85625	0.457521428571	1.59772	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. S1E40
434	11.389780977	0.00979453032129	0.0603035788409	1.0	0.0	2.16547142857	0.38235	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Ideonella; 7__Ideonella sakaiensis
297	11.304127496	0.0101900444582	0.0605064539152	1.0	0.0	3.21747857143	2.10812	2.06535	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Sediminibacterium; 7__Sediminibacterium_u
628	11.2992843632	0.0102128727946	0.0605064539152	1.0	2.48847	2.08629285714	6.26556	6.08895	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Streptococcus prophage; 7__Streptococcus pneumoniae
42	11.2417749394	0.0104878324762	0.0605252036945	1.0	4.23831	4.33028571429	8.90845	8.156225	1__Bacteria; 2__Firmicutes; 3__Firmicutes_u; 4__Firmicutes_u_u; 5__Firmicutes_u_u_u; 6__Firmicutes_u_u_u_u; 7__Firmicutes_u_u_u_u_u
79	11.2184240944	0.0106015484178	0.0605252036945	1.0	4.75172	2.02000714286	7.06595	4.844725	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pasteurellales; 5__Pasteurellaceae; 6__Pasteurellaceae_u; 7__Pasteurellaceae_u_u
187	11.103572578	0.0111788022525	0.0626811412015	1.0	1.69724	3.3175	0.0	0.0	1__Bacteria; 2__Chlamydiae; 3__Chlamydiia; 4__Chlamydiales; 5__Waddliaceae; 6__Waddlia; 7__Waddlia chondrophila
34	11.0647040425	0.0113810923878	0.0626958422767	1.0	7.97119	5.61187142857	10.62197	10.589225	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus_u
643	11.0111637865	0.0116656616715	0.0631554787043	1.0	3.96649	1.08313571429	1.38903	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas prophage_u
230	10.5744641575	0.0142641792071	0.0737185608418	1.0	2.89756	0.518314285714	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. KG01
645	10.5694885631	0.0142968498529	0.0737185608418	1.0	4.09536	1.08584285714	1.25142	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas fluorescens
90	10.5573896632	0.0143766011014	0.0737185608418	1.0	6.12176	6.31826428571	3.94685	2.6299	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus aureus
197	10.5304289852	0.014555894179	0.0737185608418	1.0	4.3631	1.22865714286	1.17536	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonadaceae_u; 7__Pseudomonadaceae_u_u
343	10.1793043934	0.017101889163	0.0852379872568	1.0	0.0	3.03813571429	1.30086	1.4554	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium sp. CCH5-F6
629	9.83293207786	0.0200409855376	0.0979629880606	1.0	1.35055	0.5112	3.459	5.955875	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Streptococcus prophage; 7__Streptococcus mitis
76	9.80711203621	0.0202789624966	0.0979629880606	1.0	5.82532	3.95942857143	1.57885	0.964825	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Delftia; 7__Delftia_u
