Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonellaceae_u;s__Veillonellaceae_u_u	0	0	3	19	1	0	1	0	0	0	323	0	5	0	0	0	6	0	12	0	0	6	0	38	4	40	8	0	91	1	1	74	0	6	1	20	0	0	3	1	33
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacteriaceae_u;s__Propionibacteriaceae_u_u	0	0	1	1	412	18	0	1	9	309	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	9	0	2	0	1	3	0	0	1	0	0	16	0	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;Moryella_u	0	0	7	5	30	5	40	255	5	8	52	9	28	0	2	0	9	0	2	0	0	5	0	30	4	0	1	0	26	0	1	69	0	12	9	2	0	34	18	1	10
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;Peptostreptococcus_u	0	0	3	0	18	11	2	7	7	2	0	0	12	1	0	0	14	0	334	26	1	40	0	16	0	0	33	0	21	0	47	4	4	3	24	1	0	0	7	20	1
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;Bulleidia_u	0	0	8	0	1	0	0	0	0	7	0	2	0	0	0	0	8	1	256	4	0	0	0	33	1	94	20	2	143	0	5	0	16	0	0	2	3	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella nanceiensis	9	5	0	9	0	0	4	2	82	3	0	26	70	3	40	7	18	16	0	0	6	32	2	0	0	0	0	0	0	0	17	1	7	12	217	0	24	26	64	10	11
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pasteurellaceae_u;s__Pasteurellaceae_u_u	10	12	0	7	2	57	1	0	1	2	47	7	10	23	10	2	8	0	0	0	3	20	1	0	6	0	0	0	0	0	11	0	5	29	43	0	40	19	118	0	1
k__Bacteria;p__SR1;c__SR1_u;o__SR1_u_u;f__SR1_u_u_u;g__SR1_u_u_u_u;s__SR1_u_u_u_u_u	0	0	21	0	28	0	0	95	0	33	0	0	5	0	12	3	0	0	0	0	0	0	0	0	1	0	7	0	6	0	7	0	0	1	187	3	46	0	0	1	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus;Desulfobulbus_u	0	0	0	0	0	37	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	437	0	0	0	0	1	0	1	6	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;Staphylococcus_u	0	0	7	0	1	65	66	33	3	17	0	1	220	4	76	1	22	0	0	0	0	0	0	55	10	0	0	1	0	0	0	0	0	0	0	8	0	1	1	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter segnis	1	0	0	4	7	3	1	0	0	4	0	0	7	0	0	0	1	0	0	0	0	155	11	1	0	0	0	0	0	0	0	0	0	0	0	0	213	0	1	1	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;Mycoplasma_u	0	0	5	0	15	0	1	0	7	1	0	0	14	2	0	0	0	2	2	23	0	0	0	0	0	34	1	1	138	0	21	0	0	0	0	0	34	0	0	74	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema amylovorum	0	11	53	0	0	1	0	0	7	0	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	156	0	89	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	1	2	10	1	10	17	7	16	0	11	0	0	57	1	198	1	41	0	0	0	0	1	0	68	83	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;Butyrivibrio_u	0	0	5	3	0	0	3	1	0	0	406	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	1	2	0	1	0	112
