Group	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
Bacteria|Proteobacteria|Alphaproteobacteria|Alphaproteobacteria_u|Alphaproteobacteria_u_u|Alphaproteobacteria_u_u_u|Alphaproteobacteria_u_u_u_u	2	10	7	2	7045	5	0	0	1	1	7	24	1	4	3	36	39	25	40	23	20	23	42	4	4	7	3	6	6	13	6	17	9	12	47	15	11	3
Bacteria|Firmicutes|Firmicutes_u|Firmicutes_u_u|Firmicutes_u_u_u|Firmicutes_u_u_u_u|Firmicutes_u_u_u_u_u	1	2	185	165	65	7	1	2	40	10	0	0	0	1	6	0	1	0	2	3	2	1	0	662	24	28	0	1	1325	2599	42	9	65	51	3	48	5	4
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_u	0	0	0	0	630	1393	0	10	544	2	6	1413	223	32	0	0	0	1	3	115	0	6	250	2	2	0	0	321	1	0	1	0	0	33	1	0	3	151
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus|Haemophilus_u	0	86	0	1052	5	78	251	18	29	30	50	0	52	11	3	0	0	0	0	0	0	0	1	1653	1	1	0	0	7	314	89	105	267	100	23	301	4	36
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_u	99	57	211	0	338	693	34	2	47	2	0	17	14	29	67	250	29	1	6	58	1	26	422	1	974	336	260	142	25	9	38	0	66	4	21	0	6	119
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas fluorescens	0	0	2	0	9	176	199	13	165	38	280	2809	128	6	0	0	0	0	157	63	0	8	212	0	0	0	0	0	0	0	0	0	0	3	2	2	60	104
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus luteus	1	1	2	0	2	34	8	135	6	0	356	18	2	1	1	0	0	1	284	291	2	47	1614	0	4	173	45	475	0	2	0	0	40	0	1	1	1	3
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Enterobacteriaceae_u|Enterobacteriaceae_u_u	0	1	0	0	1	12	0	6	3331	0	0	11	0	4	1	0	0	3	1	0	2	0	0	1	1	18	0	16	0	0	1	1	1	0	0	1	1	40
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella_u	0	0	0	725	5	21	197	1	7	71	8	7	1	5	12	2	120	2	1	15	5	0	0	1570	164	2	0	24	90	21	6	11	151	76	8	29	5	35
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus_u	1	1	0	0	5	42	1	3	7	0	0	96	0	1	2	0	0	0	688	174	0	98	1680	0	9	101	95	3	0	0	1	0	3	0	2	0	0	304
