Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V07	V08	V09	V10
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_u	9	2	3	1	4	22	6	5	57	3	28	0	0	9	16	1	3	0	14	6	1	44	33	7	4	0	1	0	12	0	7	16	0	5	0	47
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Kitasatospora|Kitasatospora sp. MY 5-36	2	10	1	3	0	19	44	0	19	4	52	6	4	3	8	1	6	1	10	4	8	0	2	0	3	2	1	3	17	6	2	2	9	15	5	64
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium matruchotii	7	2	4	24	0	0	0	0	11	0	2	0	0	13	40	0	0	0	6	0	0	6	3	186	0	4	0	1	0	0	2	4	1	4	0	18
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas citri	0	0	4	0	0	0	3	1	1	0	3	0	0	0	0	0	145	0	0	0	0	0	1	3	7	23	8	84	15	0	1	1	9	0	12	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomycetaceae_u|Actinomycetaceae_u_u	9	3	0	73	1	0	1	0	3	3	47	0	3	3	29	10	2	0	7	1	3	0	3	104	4	6	1	0	2	4	3	2	1	1	1	4
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga_u	9	7	0	86	1	1	1	0	0	0	0	0	0	7	2	3	0	0	9	4	1	0	0	52	0	1	0	0	0	0	3	131	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium_u	49	45	6	62	2	7	2	0	1	0	0	0	1	1	31	1	4	0	10	4	10	3	14	18	2	5	0	0	0	10	17	5	0	0	0	5
Bacteria|Proteobacteria|Gammaproteobacteria|Orbales|Orbaceae|Gilliamella|Gilliamella apicola	0	5	19	0	0	0	11	0	1	0	3	0	0	1	2	0	20	0	2	1	12	0	5	7	17	53	34	32	3	2	8	0	7	0	15	6
Bacteria|Verrucomicrobia|Verrucomicrobia_u|Verrucomicrobia_u_u|Verrucomicrobia_u_u_u|Verrucomicrobia_u_u_u_u|Verrucomicrobia_u_u_u_u_u	3	4	3	3	0	0	2	0	229	0	0	0	0	1	0	0	0	0	0	1	0	0	16	0	0	0	0	0	2	0	0	0	0	4	0	4
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium pseudogenitalium	2	2	1	1	0	1	0	0	222	0	0	0	2	1	1	1	0	0	0	3	0	1	1	2	0	0	0	0	17	0	0	5	0	0	0	1
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_n|Lachnospiraceae bacterium A4	27	12	3	3	0	1	1	0	187	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	6	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Alphaproteobacteria_u|Alphaproteobacteria_u_u|Alphaproteobacteria_u_u_u|Alphaproteobacteria_u_u_u_u	1	1	2	3	0	3	6	0	52	0	13	0	1	2	0	1	1	1	12	1	1	18	2	5	6	1	0	0	0	1	4	2	1	94	0	10
